User-ID,ISBN,Book-Rating
371,679728813,0
1,679728813,0
371,679728872,7
1,679728872,7
2,679728872,9
371,679728899,0
1,679728899,0
2,679728899,0
3,679728899,10
4,679728899,6
5,679728899,0
6,679728899,0
7,679728899,0
8,679728899,0
371,679729089,0
1,679729089,0
371,679729259,8
371,679729437,0
1,679729437,0
371,679729445,7
371,679729461,0
371,679729518,9
1,679729518,0
371,679729526,0
1,679729526,10
371,679729534,0
1,679729534,0
371,679729577,0
1,679729577,0
2,679729577,7
371,679729658,5
371,679729771,9
1,679729771,9
2,679729771,7
371,679729798,0
1,679729798,2
2,679729798,0
3,679729798,0
4,679729798,0
5,679729798,7
6,679729798,0
7,679729798,0
8,679729798,5
371,679729917,0
1,679729917,10
371,679729976,0
371,679730249,0
371,679730346,0
1,679730346,8
2,679730346,0
3,679730346,0
4,679730346,9
5,679730346,0
6,679730346,0
7,679730346,0
8,679730346,7
371,679730419,8
371,679730494,0
371,679730524,6
371,679730559,0
371,679730605,0
371,679730613,8
371,679730621,0
371,679730680,0
371,679730753,5
1,679730753,0
2,679730753,0
371,679731148,9
1,679731148,0
2,679731148,0
3,679731148,7
4,679731148,9
5,679731148,7
6,679731148,7
7,679731148,7
8,679731148,0
9,679731148,10
10,679731148,0
11,679731148,8
12,679731148,5
13,679731148,0
14,679731148,8
15,679731148,0
16,679731148,8
17,679731148,8
18,679731148,0
19,679731148,8
20,679731148,8
21,679731148,0
22,679731148,0
23,679731148,0
24,679731148,0
25,679731148,0
26,679731148,9
27,679731148,8
28,679731148,5
29,679731148,10
30,679731148,8
31,679731148,0
32,679731148,0
33,679731148,0
34,679731148,0
35,679731148,7
36,679731148,0
37,679731148,0
38,679731148,0
39,679731148,0
40,679731148,9
41,679731148,8
42,679731148,0
371,679731156,7
1,679731156,0
2,679731156,0
3,679731156,0
371,679731199,0
1,679731199,7
2,679731199,0
3,679731199,1
371,679731210,8
1,679731210,7
2,679731210,0
3,679731210,10
4,679731210,0
371,679731342,0
371,679731369,0
1,679731369,0
2,679731369,5
371,679731377,0
1,679731377,0
2,679731377,8
3,679731377,9
4,679731377,9
5,679731377,0
6,679731377,0
7,679731377,0
8,679731377,0
9,679731377,7
10,679731377,5
11,679731377,0
371,679731725,0
1,679731725,0
2,679731725,0
3,679731725,7
4,679731725,0
5,679731725,0
6,679731725,0
7,679731725,7
8,679731725,10
9,679731725,0
10,679731725,0
11,679731725,0
12,679731725,10
13,679731725,0
14,679731725,0
15,679731725,0
16,679731725,9
17,679731725,0
18,679731725,0
19,679731725,0
20,679731725,0
21,679731725,0
22,679731725,0
371,679731806,9
1,679731806,7
2,679731806,7
3,679731806,0
4,679731806,0
371,679731946,0
1,679731946,6
2,679731946,0
3,679731946,6
4,679731946,0
371,679732136,0
371,679732144,0
371,679732152,0
371,679732187,0
1,679732187,0
2,679732187,10
3,679732187,5
4,679732187,0
5,679732187,10
371,679732233,9
371,679732241,9
1,679732241,4
2,679732241,10
3,679732241,7
4,679732241,0
5,679732241,0
6,679732241,0
7,679732241,0
8,679732241,0
371,679732268,0
1,679732268,0
2,679732268,10
3,679732268,0
4,679732268,0
5,679732268,8
6,679732268,0
7,679732268,0
371,679732292,5
371,679732373,0
371,679732411,7
1,679732411,8
2,679732411,10
3,679732411,0
4,679732411,8
5,679732411,10
6,679732411,3
7,679732411,0
8,679732411,0
9,679732411,0
10,679732411,9
11,679732411,8
12,679732411,0
13,679732411,0
14,679732411,0
